H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H           CH2                     CH          H2                                  6.64E-11     0.00      0.0  300. 2500.  5 A NN
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C2H                     C3          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0   10.41000.  5 A IN
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0   10.41000.  5 A IN
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0   10. 2500.  5 A NN
CH          O                       CO          H                                   6.60E-11     0.00      0.0   10. 2000.  5 A NN
C           HCO                     C2O         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           OH                      CO          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0   10.41000.  5 A IN
O           OH                      O2          H                                   3.50E-11     0.00      0.0   39.  142.  5 A NN
C           CH                      C2          H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
CH          N                       CN          H                                   1.66E-10    -0.09      0.0  222.  584.  5 A NN
H2          C2H+                    C2H2+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
H2          C2H2+                   C2H3+       H                                   1.00E-11     0.00      0.0   10.41000.  5 A IN
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0   10.41000.  5 A IN
N           CH2                     HCN         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
N           HCO                     OCN         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C4H+                    C4H2+       H                                   1.65E-10     0.00      0.0   10.41000.  5 A IN
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0   10.41000.  5 A IN
N           OH                      NO          H                                   7.50E-11    -0.18      0.0   10.  100.  5 A NN
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0   10. 1000.  5 A DR
C           C2H3+                   C3H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C5H+                    C6+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0   10.41000.  5 A IN
CH5+        CO                      HCO+        CH4                                 1.00E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0   10.41000.  5 A IN
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0 1900. 2600.  5 A NN
O           HCO                     CO          OH                                  5.00E-11     0.00      0.0   10. 2500.  5 A NN
O           C2H                     CO          CH                                  1.70E-11     0.00      0.0  290. 2500.  5 A NN
C           HCO                     CO          CH                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C2                      CO          C                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
C           O2                      CO          O                                   4.70E-11    -0.34      0.0   10.  300.  5 A NN
O           C2O                     CO          CO                                  8.59E-11     0.00      0.0  295.  295.  5 A NN
H+          CO2                     HCO+        O                                   3.50E-09     0.00      0.0   10.41000.  5 A IN
