! Elemental conservation:
!    Element          Initial            Final          (F-I)/I
          +-   0.00000000E+00   0.00000000E+00   0.00000000E+00
           E   0.00000000E+00   0.00000000E+00   0.00000000E+00
       Grain   0.00000000E+00   0.00000000E+00   0.00000000E+00
           H   2.75200692E+26   2.75200692E+26   0.00000000E+00
           D   0.00000000E+00   0.00000000E+00   0.00000000E+00
          He   2.47680623E+25   2.47680623E+25   0.00000000E+00
           C   3.85280968E+22   3.85280968E+22   0.00000000E+00
           N   2.06400519E+22   2.06400519E+22   0.00000000E+00
           O   8.80642214E+22   8.80642214E+22   0.00000000E+00
          Si   2.20160553E+18   2.20160553E+18   0.00000000E+00
           S   2.20160553E+19   2.20160553E+19   0.00000000E+00
          Fe   8.25602075E+17   8.25602075E+17   0.00000000E+00
          Na   5.50401384E+18   5.50401384E+18   0.00000000E+00
          Mg   1.92640484E+18   1.92640484E+18   0.00000000E+00
          Cl   1.10080277E+18   1.10080277E+18   0.00000000E+00
           P   8.25602075E+17   8.25602075E+17   0.00000000E+00
           F   5.50401384E+18   5.50401384E+18   0.00000000E+00
