!R1         R2          R3          P1          P2          P3          P4          A        a        Ea       m_eff __    iT      
!__________ ___________ ___________ ___________ ___________ ___________ ___________ ________ ________ ________ _____ _____ __ _ __
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0    0.    0.  5     
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0    0.    0.  5     
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0    0.    0.  5     
CHD         O                       CO          D           H                       1.33E-10     0.00      0.0    0.    0.  5     
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0    0.    0.  5     
H2          CD+                     CHD+        H                                   8.00E-10     0.00      0.0    0.    0.  5     
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0    0.    0.  5     
H2          CD+                     CH2+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
D3+         O                       D2O+        D                                   3.60E-10     0.00      0.0    0.    0.  5     
CHD         O                       HCO         D                                   2.51E-11     0.00      0.0    0.    0.  5     
C           CHD                     C2H         D                                   5.00E-11     0.00      0.0    0.    0.  5     
H2          CHD+                    CH3+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
H2          OD+                     H2O+        D                                   3.37E-10     0.00      0.0    0.    0.  5     
HD          CD+                     CHD+        D                                   8.00E-10     0.00      0.0    0.    0.  5     
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0    0.    0.  5     
D3+         CO                      DCO+        D2                                  1.70E-09     0.00      0.0    0.    0.  5     
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0    0.    0.  5     
H+          CO2                     HCO+        O                                   3.50E-09     0.00      0.0    0.    0.  5     
D3+         CO2                     DCO2+       D2                                  2.00E-09     0.00      0.0    0.    0.  5     
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0    0.    0.  5     
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0    0.    0.  5     
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0    0.    0.  5     
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0    0.    0.  5     
CH          O                       HCO+        E-                                  2.00E-11     0.44      0.0    0.    0.  5     
C           H2DO+                   HCO+        HD                                  6.67E-12     0.00      0.0    0.    0.  5     
O           C6H2+                   C5H         HCO+                                2.00E-10     0.00      0.0    0.    0.  5     
O           C3H2+                   HCO+        C2H                                 2.00E-10     0.00      0.0    0.    0.  5     
C           H3O+                    HCO+        H2                                  1.00E-11     0.00      0.0    0.    0.  5     
C           DCO+                    CO          CD+                                 1.10E-09     0.00      0.0    0.    0.  5     
CD3+        O                       DCO+        D2                                  4.00E-10     0.00      0.0    0.    0.  5     
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0    0.    0.  5     
D3+         H2O                     HD2O+       HD                                  3.54E-09    -0.50      0.0    0.    0.  5     
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0    0.    0.  5     
D3+         H2O                     H2DO+       D2                                  1.77E-09    -0.50      0.0    0.    0.  5     
H2O         DCO+                    CO          H2DO+                               2.50E-09    -0.50      0.0    0.    0.  5     
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0    0.    0.  5     
H2DO+       E-                      H2O         D                                   3.60E-08    -0.50      0.0    0.    0.  5     
D3+         HDO                     HD2O+       D2                                  3.54E-09    -0.50      0.0    0.    0.  5     
H+          HDO                     HDO+        H                                   4.60E-09    -0.50      0.0    0.    0.  5     
D3+         HDO                     D3O+        HD                                  2.36E-09    -0.50      0.0    0.    0.  5     
H+          HDO                     H2O+        D                                   2.30E-09    -0.50      0.0    0.    0.  5     
HDO         DCO+                    CO          HD2O+                               2.50E-09    -0.50      0.0    0.    0.  5     
C+          HDO                     HOC+        D                                   9.00E-10    -0.50      0.0    0.    0.  5     
H2DO+       E-                      HDO         H                                   7.20E-08    -0.50      0.0    0.    0.  5     
HD2O+       E-                      HDO         D                                   7.20E-08    -0.50      0.0    0.    0.  5     
D3+         D2O                     D3O+        D2                                  5.90E-09    -0.50      0.0    0.    0.  5     
H+          D2O                     HDO+        D                                   4.60E-09    -0.50      0.0    0.    0.  5     
C+          D2O                     DOC+        D                                   1.80E-09    -0.50      0.0    0.    0.  5     
H+          D2O                     D2O+        H                                   2.30E-09    -0.50      0.0    0.    0.  5     
