!Grain reactions+++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 2012-03-26 Mon 16:56:53
!   First completed version.
!   Some of the parameters for the H2 + OH and the deuteration and abstraction
!   reactions of H2CO and CH3OH may not be correcte and need to be tuned.
! 2011-05-27 Fri 13:19:22 DFJ
!   This is the surface network.
!   It contains five sections:
!     1. Adsorption of gas phase species.
!     2. Desorption of surface species.
!     3. Reactions on the grain surface.
!     4. Chemical desorption reactions, which is practically a subset of section 3, except the products are gas phase species.
!     5. Dissociation of surface species by cosmic ray induced photons.
!   The first two usually are not considered as surface reactions.
! Reference list:
!   HHL92: Hasegawa et al. 1992
!   ICet08: Ioppolo et al. 2008, ApJ, 686, 1474
!   ICet10: Ioppolo et al. 2010, PCCP, 12, 12065
!   CIRL10: Cuppen et al. 2010, PCCP,12, 12077
!   HH93: Hasegawa and Herbst 1993 MNRAS, 261, 83
!   GMet08: Goumans et al. 2008, MNRAS, 384, 1158 [also contains some desorption barrier data for other species]
!   RH01: Ruffle and Herbst 2001, MNRAS, 324, 1054 [interesting discussions]
!   TH82: Tielens and Hagen 1982, A&A, 114, 245
!   FCet09: Fuchs et al. 2009, A&A, 505, 629
!   ABet04: Atkinson et al. 2004, Atmos. Chem. Phys., 4, 1461
!   AR77: Allen and Robinson 1977, ApJ, 212, 396
!   KT05: Keane and Tielens 2005, ***
!   SH04: Stantcheva and Herbst 2004, ApJ, 423, 241
!   MCet09: Mokrane et al. 2009, ApJ, 705, 195
!   Woon02; n=3, QCISD*, Clust, ZPE: *4.1858/8.314
!   GWH08: Garrod et al. 2008
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 1. Adsorption of gaseous species.
!    74 reactions in total.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
H2                                  gH2                                              1.0                                    61
HD                                  gHD                                              1.0                                    61
D2                                  gD2                                              1.0                                    61
H                                   gH                                               1.0                                    61
D                                   gD                                               1.0                                    61
O                                   gO                                               1.0                                    61
OH                                  gOH                                              1.0                                    61
OD                                  gOD                                              1.0                                    61
O2                                  gO2                                              1.0                                    61
H2O                                 gH2O                                             1.0                                    61
HDO                                 gHDO                                             1.0                                    61
D2O                                 gD2O                                             1.0                                    61
CO                                  gCO                                              1.0                                    61
HCO                                 gHCO                                             1.0                                    61
DCO                                 gDCO                                             1.0                                    61
H2CO                                gH2CO                                            1.0                                    61
HDCO                                gHDCO                                            1.0                                    61
D2CO                                gD2CO                                            1.0                                    61
CH3OH                               gCH3OH                                           1.0                                    61
CH2DOH                              gCH2DOH                                          1.0                                    61
CHD2OH                              gCHD2OH                                          1.0                                    61
CD3OH                               gCD3OH                                           1.0                                    61
CH3OD                               gCH3OD                                           1.0                                    61
CH2DOD                              gCH2DOD                                          1.0                                    61
CHD2OD                              gCHD2OD                                          1.0                                    61
CO2                                 gCO2                                             1.0                                    61
C                                   gC                                               1.0                                    61
CH                                  gCH                                              1.0                                    61
CD                                  gCD                                              1.0                                    61
CH2                                 gCH2                                             1.0                                    61
CHD                                 gCHD                                             1.0                                    61
CD2                                 gCD2                                             1.0                                    61
CH3                                 gCH3                                             1.0                                    61
CH2D                                gCH2D                                            1.0                                    61
CHD2                                gCHD2                                            1.0                                    61
CD3                                 gCD3                                             1.0                                    61
CH4                                 gCH4                                             1.0                                    61
CH3D                                gCH3D                                            1.0                                    61
CH2D2                               gCH2D2                                           1.0                                    61
CHD3                                gCHD3                                            1.0                                    61
N                                   gN                                               1.0                                    61
NH                                  gNH                                              1.0                                    61
ND                                  gND                                              1.0                                    61
NH2                                 gNH2                                             1.0                                    61
NHD                                 gNHD                                             1.0                                    61
