! Elemental conservation:
!    Element     Initial       Final     (F-I)/I
          +-   0.000E+00   5.871E-19   5.871E+11
           E   0.000E+00   4.651E-08   4.651E+22
       Grain   0.000E+00   0.000E+00   0.000E+00
           H   1.000E+00   1.000E+00   5.995E-15
           D   2.000E-05   2.000E-05  -5.794E-14
          He   1.400E-01   1.400E-01   1.348E-14
           C   7.300E-05   7.300E-05   4.827E-15
           N   2.140E-05   2.140E-05   3.958E-15
           O   1.760E-04   1.760E-04   5.390E-15
          Si   3.000E-09   3.000E-09  -1.916E-14
           S   2.000E-08   2.000E-08   1.257E-14
          Fe   3.000E-09   3.000E-09  -3.447E-15
          Na   3.000E-09   3.000E-09   3.998E-15
          Mg   3.000E-09   3.000E-09   6.204E-15
          Cl   0.000E+00   0.000E+00   0.000E+00
           P   3.000E-09   3.000E-09   2.206E-15
           F   2.000E-08   2.000E-08  -2.647E-14
