H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0   10.41000.  5 A IN
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0   10.41000.  5 A IN
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0   10.41000.  5 A IN
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0   10.41000.  5 A IN
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0   10.41000.  5 A IN
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0   10. 1000.  5 A DR
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
H3+         O                       H2O+        H                                   3.60E-10     0.00      0.0   10.41000.  5 B IN
H2          C2H+                    C2H2+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0   10. 1000.  5 A DR
H2          C2H2+                   C2H3+       H                                   1.00E-11     0.00      0.0   10.41000.  5 A IN
H2                                  H           H                                   1.30E-18     0.00      0.0   10.41000.  1 C CP
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0   10.41000.  5 A IN
CH5+        CO                      HCO+        CH4                                 1.00E-09     0.00      0.0   10.41000.  5 A IN
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0 1900. 2600.  5 A NN
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
C           OH                      CO          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0   10.  300.  5 A DR
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
C           H3O+                    HCO+        H2                                  1.00E-11     0.00      0.0   10.41000.  5 C IN
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0   10.41000.  5 A IN
CH5+        H2O                     H3O+        CH4                                 3.70E-09    -0.50      0.0   10.41000.  5 A IN
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0   10.  300.  5 A CE
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0   10.41000.  5 A IN
H2O         HCO+                    CO          H3O+                                2.50E-09    -0.50      0.0   10.41000.  5 B IN
He+         H2O                     OH+         He          H                       2.86E-10    -0.50      0.0   10.41000.  5 A IN
He+         H2O                     OH          He          H+                      2.04E-10    -0.50      0.0   10.41000.  5 A IN
O           OH                      O2          H                                   3.50E-11     0.00      0.0   39.  142.  5 A NN
N           OH                      NO          H                                   7.50E-11    -0.18      0.0   10.  100.  5 A NN
H3O+        E-                      OH          H2                                  6.02E-08    -0.50      0.0   10. 1000.  5 A DR
O           HCO                     CO          OH                                  5.00E-11     0.00      0.0   10. 2500.  5 A NN
H2O2                                OH          OH                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H2CO        O2H                     H2O2        HCO                                 3.30E-12     0.00   5870.0  300. 2500.  5 A NN
NH3         H3O+                    NH4+        H2O                                 2.20E-09    -0.50      0.0   10.41000.  5 A IN
He+         NH3                     NH2+        He          H                       1.76E-09    -0.50      0.0   10.41000.  5 A IN
H3+         NH3                     NH4+        H2                                  4.39E-09    -0.50      0.0   10.41000.  5 A IN
C+          NH3                     H2NC+       H                                   1.75E-09    -0.50      0.0   10.41000.  5 A IN
NH3         CH5+                    NH4+        CH4                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
H+          NH3                     NH3+        H                                   3.70E-09    -0.50      0.0   10.41000.  5 A CE
NH4+        E-                      NH3         H                                   1.05E-06    -0.47      0.0   12.  620.  5 A DR
He+         CH4                     CH2+        He          H2                      9.50E-10     0.00      0.0   10.41000.  5 A IN
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0   10.41000.  5 A IN
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5   10.41000.  2 C CR
He+         CH4                     CH3         He          H+                      4.80E-10     0.00      0.0   10.41000.  5 A IN
H+          CH4                     CH3+        H2                                  2.30E-09     0.00      0.0   10.41000.  5 A IN
CH3+        CH4                     C2H5+       H2                                  1.20E-09     0.00      0.0   10.41000.  5 A IN
He+         CH4                     CH+         He          H2          H           2.40E-10     0.00      0.0   10.41000.  5 A IN
C+          CH4                     C2H2+       H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
H+          CH4                     CH4+        H                                   1.50E-09     0.00      0.0   10.41000.  5 A CE
C           CH5+                    CH4         CH+                                 1.20E-09     0.00      0.0   10.41000.  5 C IN
CH          CH3OH                   CH3         H2CO                                2.49E-10    -1.93      0.0  298.  753.  5 A NN
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
H3+         CH3OH                   CH3+        H2O         H2                      3.71E-09    -0.50      0.0   10.41000.  5 A IN
C+          CH3OH                   HCO         CH3+                                2.08E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH3OH                   OH+         CH3         He                      1.10E-09    -0.50      0.0   10.41000.  5 C IN
He+         CH3OH                   OH          CH3+        He                      1.10E-09    -0.50      0.0   10.41000.  5 C IN
H3+         CH3CHO                  CH3+        CH3OH                               1.45E-09    -0.50      0.0   10.41000.  5 A IN
CH3OH2+     E-                      CH3OH       H                                   2.67E-08    -0.59      0.0   10.  300.  5 A DR
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0 1750. 2575.  5 A NN
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0   10. 2500.  5 A NN
H3O+        CH3CN                   CH3CNH+     H2O                                 4.70E-09    -0.50      0.0   10.41000.  5 A IN
H3+         CH3CN                   CH3CNH+     H2                                  1.05E-08    -0.50      0.0   10.41000.  5 B IN
C+          CH3CN                   C2H3+       CN                                  5.60E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3CN                   CH3CN+      H                                   8.40E-09    -0.50      0.0   10.41000.  5 B CE
He+         CH3CN                   CN+         CH3         He                      1.20E-09    -0.50      0.0   10.41000.  5 C IN
He+         CH3CN                   CN          CH3+        He                      1.20E-09    -0.50      0.0   10.41000.  5 C IN
CH3CNH+     E-                      CH3CN       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        HCN                     HCNH+       H2O                                 3.80E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HCN                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 A IN
CH3+        HCN                     CH3CNH+                                         9.00E-09    -0.50      0.0   10.  300.  5 C RA
C+          HCN                     CNC+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 A IN
He+         HCN                     CN+         He          H                       1.46E-09    -0.50      0.0   10.41000.  5 A IN
N           HCO                     HCN         O                                   1.70E-10     0.00      0.0   10.  300.  5 C NN
N           CH2                     HCN         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
N           C4H2+                   C3H+        HCN                                 1.71E-10     0.00      0.0   10.41000.  5 B IN
H3O+        HNC                     HCNH+       H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HNC                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 C IN
C+          HNC                     C2N+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 C IN
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
H2NC+       E-                      HNC         H                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
C           HN2+                    N2          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
HN2+        E-                      NH          N                                   6.40E-07    -0.51      0.0   10.  300.  5 A DR
HN2+        E-                      N2          H                                   3.60E-07    -0.51      0.0   10.  300.  5 A DR
O           HN2+                    N2          OH+                                 1.40E-10     0.00      0.0   10.41000.  5 A IN
H2          N2+                     HN2+        H                                   2.00E-09     0.00      0.0   10.41000.  5 A IN
H3+         N2                      HN2+        H2                                  1.80E-09     0.00      0.0   10.41000.  5 A IN
H3O+        H2S                     H3S+        H2O                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
He+         H2S                     S+          He          H2                      3.61E-09    -0.50      0.0   10.41000.  5 A IN
