H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0   10.41000.  5 A IN
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0   10. 1000.  5 A DR
C           OH                      CO          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           OH                      O2          H                                   3.50E-11     0.00      0.0   39.  142.  5 A NN
H-          O                       OH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
C           H2O+                    OH          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
H2O2                                OH          OH                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H2CO        O2H                     H2O2        HCO                                 3.30E-12     0.00   5870.0  300. 2500.  5 A NN
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0   10.  300.  5 C NN
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0   10.41000.  5 A IN
H3+         CH3OH                   CH3+        H2O         H2                      3.71E-09    -0.50      0.0   10.41000.  5 A IN
CH3OH                               H2CO        H2                                  1.30E-17     0.00   1584.0   10.41000.  2 C CR
CH3         OH-                     CH3OH       E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0 1750. 2575.  5 A NN
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0   10. 2500.  5 A NN
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5   10.41000.  2 C CR
C           CH5+                    CH4         CH+                                 1.20E-09     0.00      0.0   10.41000.  5 C IN
H3+         NH3                     NH4+        H2                                  4.39E-09    -0.50      0.0   10.41000.  5 A IN
NH4+        E-                      NH3         H                                   1.05E-06    -0.47      0.0   12.  620.  5 A DR
H3+         CH3CN                   CH3CNH+     H2                                  1.05E-08    -0.50      0.0   10.41000.  5 B IN
CH3CNH+     E-                      CH3CN       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3+         HCN                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 A IN
N           CH2                     HCN         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
H3+         HNC                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 C IN
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
C           HN2+                    N2          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
H2          N2+                     HN2+        H                                   2.00E-09     0.00      0.0   10.41000.  5 A IN
H3+         H2S                     H3S+        H2                                  3.70E-09    -0.50      0.0   10.41000.  5 A IN
H2S                                 S           H2                                  1.30E-17     0.00   2577.0   10.41000.  2 C CR
H3S+        E-                      H2S         H                                   1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          C                       CH2                                             1.00E-17     0.00      0.0   10.  300.  5 C RA
H2                                  H2+         E-                                  1.20E-17     0.00      0.0   10.41000.  1 C CP
H3+         O                       OH+         H2                                  8.40E-10     0.00      0.0   10.41000.  5 B IN
H3+         C                       CH+         H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0 1900. 2600.  5 A NN
C           OH+                     O           CH+                                 1.20E-09     0.00      0.0   10.41000.  5 C IN
C+          S                       S+          C                                   1.50E-09     0.00      0.0   10.41000.  5 C CE
C+          Fe                      Fe+         C                                   2.60E-09     0.00      0.0   10.41000.  5 C CE
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0   10.41000.  5 A IN
H2          CH3+                    CH5+                                            1.30E-14    -1.00      0.0   10.  300.  5 C RA
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0   10.41000.  5 A IN
C           H3O+                    HCO+        H2                                  1.00E-11     0.00      0.0   10.41000.  5 C IN
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0   10.41000.  5 A IN
H3+         E-                      H           H           H                       4.36E-08    -0.52      0.0   10. 1000.  5 A DR
H3+         E-                      H2          H                                   2.34E-08    -0.52      0.0   10. 1000.  5 A DR
C           O2                      CO          O                                   4.70E-11    -0.34      0.0   10.  300.  5 A NN
H2                                  H+          H-                                  3.90E-21     0.00      0.0   10.41000.  1 C CP
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0   10.41000.  5 A IN
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0   10. 2500.  5 A NN
O           HCO                     CO          OH                                  5.00E-11     0.00      0.0   10. 2500.  5 A NN
C           HCO                     CO          CH                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
H2          NH+                     N           H3+                                 2.25E-10     0.00      0.0   10.41000.  5 A IN
NH          O                       NO          H                                   1.16E-10     0.00      0.0  250. 3000.  5 A NN
H-          N                       NH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
