H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0   10.41000.  5 A IN
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0   10.41000.  5 A IN
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0   10.41000.  5 A IN
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0   10.41000.  5 A IN
C           C2H                     C3          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0   10.41000.  5 A IN
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0   10.41000.  5 A IN
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0 1900. 2600.  5 A NN
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
CH5+        CO                      HCO+        CH4                                 1.00E-09     0.00      0.0   10.41000.  5 A IN
H2          HOC+                    HCO+        H2                                  3.80E-10     0.00      0.0   20.41000.  5 B CD
H2O         HCO+                    CO          H3O+                                2.50E-09    -0.50      0.0   10.41000.  5 B IN
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0   10.41000.  5 A IN
H3O+        HCN                     HCNH+       H2O                                 3.80E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        C3                      C3H+        H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0   10. 1000.  5 A DR
O           OH                      O2          H                                   3.50E-11     0.00      0.0   39.  142.  5 A NN
C           OH                      CO          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           HCO                     CO          OH                                  5.00E-11     0.00      0.0   10. 2500.  5 A NN
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0   10. 1000.  5 A DR
H2O2                                OH          OH                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H2CO        O2H                     H2O2        HCO                                 3.30E-12     0.00   5870.0  300. 2500.  5 A NN
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0   10.  300.  5 C NN
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0   10.41000.  5 A IN
CH          CH3OH                   CH3         H2CO                                2.49E-10    -1.93      0.0  298.  753.  5 A NN
CH3OH2+     E-                      CH3OH       H                                   2.67E-08    -0.59      0.0   10.  300.  5 A DR
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0 1750. 2575.  5 A NN
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0   10. 2500.  5 A NN
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
CH          CH4                     C2H4        H                                   1.05E-10    -1.04     36.0   23.  300.  5 A NN
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0   10.41000.  5 A IN
C+          CH4                     C2H2+       H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
C           CH5+                    CH4         CH+                                 1.20E-09     0.00      0.0   10.41000.  5 C IN
NH3         H3O+                    NH4+        H2O                                 2.20E-09    -0.50      0.0   10.41000.  5 A IN
NH3         HCNH+                   HCN         NH4+                                1.10E-09    -0.50      0.0   10.41000.  5 A IN
NH3         HCNH+                   HNC         NH4+                                1.10E-09    -0.50      0.0   10.41000.  5 A IN
C+          NH3                     H2NC+       H                                   1.75E-09    -0.50      0.0   10.41000.  5 A IN
NH3         CN                      HCN         NH2                                 3.41E-11    -0.90     -9.9   25.  761.  5 B NN
NH4+        E-                      NH3         H                                   1.05E-06    -0.47      0.0   12.  620.  5 A DR
H3O+        CH3CN                   CH3CNH+     H2O                                 4.70E-09    -0.50      0.0   10.41000.  5 A IN
C+          CH3CN                   C2H3+       CN                                  5.60E-09    -0.50      0.0   10.41000.  5 A IN
HCNH+       CH3CN                   CH3CNH+     HCN                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
CH3CNH+     E-                      CH3CN       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C+          HCN                     CNC+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 A IN
N           HCO                     HCN         O                                   1.70E-10     0.00      0.0   10.  300.  5 C NN
HCNH+       E-                      HCN         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
H3O+        HNC                     HCNH+       H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          HNC                     C2N+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 C IN
HCNH+       E-                      HNC         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
C           HN2+                    N2          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
O           HN2+                    N2          OH+                                 1.40E-10     0.00      0.0   10.41000.  5 A IN
CO          HN2+                    HCO+        N2                                  8.80E-10     0.00      0.0   10.41000.  5 A IN
H3+         N2                      HN2+        H2                                  1.80E-09     0.00      0.0   10.41000.  5 A IN
H3O+        H2S                     H3S+        H2O                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2S                     HCS+        H                                   1.40E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        H2S                     H3S+        CO                                  1.60E-09    -0.50      0.0   10.41000.  5 B IN
H3S+        E-                      H2S         H                                   1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          C                       CH2                                             1.00E-17     0.00      0.0   10.  300.  5 C RA
H2                                  H2+         E-                                  1.20E-17     0.00      0.0   10.41000.  1 C CP
C           O2                      CO          O                                   4.70E-11    -0.34      0.0   10.  300.  5 A NN
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0   10. 2500.  5 A NN
H           HCO                     CO          H2                                  2.00E-10     0.00      0.0  300. 2500.  5 A NN
C           HCO                     CO          CH                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
H3+         O                       OH+         H2                                  8.40E-10     0.00      0.0   10.41000.  5 B IN
H3+         C                       CH+         H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H2          CH3+                    CH5+                                            1.30E-14    -1.00      0.0   10.  300.  5 C RA
N           CN                      N2          C                                   3.00E-10     0.00      0.0  298. 2500.  5 C NN
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0   10.41000.  5 A IN
N           C3                      CN          C2                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
He                                  He+         E-                                  6.50E-18     0.00      0.0   10.41000.  1 C CP
H2          HeH+                    He          H3+                                 1.50E-09     0.00      0.0   10.41000.  5 A IN
O           CH5+                    H3O+        CH2                                 2.20E-10     0.00      0.0   10.41000.  5 A IN
H2          C3H+                    C3H3+                                           1.69E-12    -1.00      0.0   10.  300.  5 A RA
H2          C3H+                    H2C3H+                                          1.69E-12    -1.00      0.0   10.  300.  5 A RA
C           C2H3+                   C3H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0   10.  300.  5 A DR
HCNH+       E-                      CN          H           H                       9.30E-08    -0.65      0.0   10.  300.  5 A DR
H3O+        E-                      OH          H2                                  6.02E-08    -0.50      0.0   10. 1000.  5 A DR
CH          N                       CN          H                                   1.66E-10    -0.09      0.0  222.  584.  5 A NN
N           OH                      NO          H                                   7.50E-11    -0.18      0.0   10.  100.  5 A NN
C           NO                      CO          N                                   9.00E-11     0.00      0.0  300.41000.  5 A NN
NH          O                       NO          H                                   1.16E-10     0.00      0.0  250. 3000.  5 A NN
HN2+        E-                      NH          N                                   6.40E-07    -0.51      0.0   10.  300.  5 A DR
H2CO+       E-                      CO          H           H                       5.00E-07    -0.50      0.0   10.  300.  5 C DR
H2O         H2CO+                   HCO         H3O+                                2.60E-09    -0.50      0.0   10.41000.  5 A IN
CH3+        O                       H2CO+       H                                   4.00E-11     0.00      0.0   10.41000.  5 A IN
CH          O                       CO          H                                   6.60E-11     0.00      0.0   10. 2000.  5 A NN
H           CH2                     CH          H2                                  6.64E-11     0.00      0.0  300. 2500.  5 A NN
