H           H                       H2                                              1.00E+00     0.00      0.0    0.    0.  0     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0    0.    0.  5     
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0    0.    0.  5     
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0    0.    0.  5     
CHD         O                       CO          D           H                       1.33E-10     0.00      0.0    0.    0.  5     
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0    0.    0.  5     
H2          CD+                     CHD+        H                                   8.00E-10     0.00      0.0    0.    0.  5     
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0    0.    0.  5     
CH          O                       CO          H                                   6.60E-11     0.00      0.0    0.    0.  5     
C           C2H                     C3          H                                   1.00E-10     0.00      0.0    0.    0.  5     
H2          CHD+                    CH2D+       H                                   1.20E-09     0.00      0.0    0.    0.  5     
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0    0.    0.  5     
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0    0.    0.  5     
H2          OD+                     HDO+        H                                   6.73E-10     0.00      0.0    0.    0.  5     
O           OH                      O2          H                                   3.50E-11     0.00      0.0    0.    0.  5     
H2          HDO+                    H2DO+       H                                   4.80E-10     0.00      0.0    0.    0.  5     
C           OH                      CO          H                                   1.00E-10     0.00      0.0    0.    0.  5     
CH          N                       CN          H                                   1.66E-10    -0.09      0.0    0.    0.  5     
C           HCO                     C2O         H                                   1.00E-10     0.00      0.0    0.    0.  5     
HD+         H2                      H2D+        H                                   1.56E-09     0.00      0.0    0.    0.  5     
H2+         HD                      H2D+        H                                   1.56E-09     0.00      0.0    0.    0.  5     
CHD         O                       DCO         H                                   2.51E-11     0.00      0.0    0.    0.  5     
C           CH                      C2          H                                   6.59E-11     0.00      0.0    0.    0.  5     
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0    0.    0.  5     
H2          C4H+                    C4H2+       H                                   1.65E-10     0.00      0.0    0.    0.  5     
N           OH                      NO          H                                   7.50E-11    -0.18      0.0    0.    0.  5     
H2          D2O+                    HD2O+       H                                   3.20E-10     0.00      0.0    0.    0.  5     
H2DO+       E-                      OH          D           H                       1.72E-07    -0.50      0.0    0.    0.  5     
HD2O+       E-                      OD          D           H                       1.72E-07    -0.50      0.0    0.    0.  5     
C           CHD                     C2D         H                                   5.00E-11     0.00      0.0    0.    0.  5     
HD          CH2+                    CH2D+       H                                   1.20E-09     0.00      0.0    0.    0.  5     
N           CH2                     HCN         H                                   3.95E-11     0.17      0.0    0.    0.  5     
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0    0.    0.  5     
H2          C6+                     C6H+        H                                   5.40E-11     0.00      0.0    0.    0.  5     
H2          C5+                     C5H+        H                                   6.20E-10     0.00      0.0    0.    0.  5     
H2          C6H+                    C6H2+       H                                   1.30E-12     0.00      0.0    0.    0.  5     
C           C5H+                    C6+         H                                   1.00E-09     0.00      0.0    0.    0.  5     
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0    0.    0.  5     
C           C4H2+                   C5H+        H                                   5.00E-10     0.00      0.0    0.    0.  5     
H2          C2D+                    C2HD+       H                                   7.33E-10     0.00      0.0    0.    0.  5     
HCNH+       E-                      HCN         H                                   9.50E-08    -0.65      0.0    0.    0.  5     
HCNH+       E-                      HNC         H                                   9.50E-08    -0.65      0.0    0.    0.  5     
HCNH+       E-                      CN          H           H                       9.30E-08    -0.65      0.0    0.    0.  5     
HD          CHD+                    CHD2+       H                                   8.00E-10     0.00      0.0    0.    0.  5     
H2          C2HD+                   C2H2D+      H                                   7.50E-12     0.00      0.0    0.    0.  5     
HD          CD+                     CD2+        H                                   4.00E-10     0.00      0.0    0.    0.  5     
H2DO+       E-                      OD          H           H                       8.60E-08    -0.50      0.0    0.    0.  5     
D           D                       D2                                              1.00E+00     0.00      0.0    0.    0.  0     
D           HCO                     CO          HD                                  2.00E-10     0.00      0.0    0.    0.  5     
H2          CD+                     CH2+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
D3+         O                       D2O+        D                                   3.60E-10     0.00      0.0    0.    0.  5     
CHD         O                       HCO         D                                   2.51E-11     0.00      0.0    0.    0.  5     
H2          CHD+                    CH3+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
H2          OD+                     H2O+        D                                   3.37E-10     0.00      0.0    0.    0.  5     
O           OD                      O2          D                                   3.50E-11     0.00      0.0    0.    0.  5     
HD          CD+                     CHD+        D                                   8.00E-10     0.00      0.0    0.    0.  5     
C           OD                      CO          D                                   1.00E-10     0.00      0.0    0.    0.  5     
H2          D2O+                    H2DO+       D                                   3.20E-10     0.00      0.0    0.    0.  5     
C           CHD                     C2H         D                                   5.00E-11     0.00      0.0    0.    0.  5     
