H           H                       H2                                              1.00E+00     0.00      0.0    0.    0.  0     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0    0.    0.  5     
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0    0.    0.  5     
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0    0.    0.  5     
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0    0.    0.  5     
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0    0.    0.  5     
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0    0.    0.  5     
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0    0.    0.  5     
D           D                       D2                                              1.00E+00     0.00      0.0    0.    0.  0     
H2          CD+                     CH2+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
H2          CHD+                    CH3+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
H2          HDO+                    H3O+        D                                   1.60E-10     0.00      0.0    0.    0.  5     
H2          OD+                     H2O+        D                                   3.37E-10     0.00      0.0    0.    0.  5     
H2D+        O                       H2O+        D                                   1.20E-10     0.00      0.0    0.    0.  5     
H2          C2D+                    C2H2+       D                                   3.67E-10     0.00      0.0    0.    0.  5     
CHD         O                       CO          D           H                       1.33E-10     0.00      0.0    0.    0.  5     
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0    0.    0.  5     
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0    0.    0.  5     
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0    0.    0.  5     
H+          CO2                     HCO+        O                                   3.50E-09     0.00      0.0    0.    0.  5     
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0    0.    0.  5     
C+          CO2                     CO+         CO                                  1.10E-09     0.00      0.0    0.    0.  5     
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0    0.    0.  5     
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0    0.    0.  5     
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0    0.    0.  5     
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0    0.    0.  5     
CH2D+       O                       HCO+        HD                                  2.67E-10     0.00      0.0    0.    0.  5     
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0    0.    0.  5     
O           C3H2+                   HCO+        C2H                                 2.00E-10     0.00      0.0    0.    0.  5     
C           DCO+                    CO          CD+                                 1.10E-09     0.00      0.0    0.    0.  5     
CH2D+       O                       DCO+        H2                                  1.33E-10     0.00      0.0    0.    0.  5     
CHD2+       O                       DCO+        HD                                  2.67E-10     0.00      0.0    0.    0.  5     
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0    0.    0.  5     
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0    0.    0.  5     
H2O         HCO+                    CO          H3O+                                2.50E-09    -0.50      0.0    0.    0.  5     
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0    0.    0.  5     
CH5+        H2O                     H3O+        CH4                                 3.70E-09    -0.50      0.0    0.    0.  5     
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0    0.    0.  5     
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0    0.    0.  5     
H+          HDO                     HDO+        H                                   4.60E-09    -0.50      0.0    0.    0.  5     
HDO         HCO+                    CO          H2DO+                               2.50E-09    -0.50      0.0    0.    0.  5     
H3+         HDO                     H2DO+       H2                                  3.54E-09    -0.50      0.0    0.    0.  5     
H3+         HDO                     H3O+        HD                                  2.36E-09    -0.50      0.0    0.    0.  5     
H+          HDO                     H2O+        D                                   2.30E-09    -0.50      0.0    0.    0.  5     
C+          HDO                     HOC+        D                                   9.00E-10    -0.50      0.0    0.    0.  5     
C+          HDO                     DOC+        H                                   9.00E-10    -0.50      0.0    0.    0.  5     
H2D+        HDO                     H2DO+       HD                                  3.54E-09    -0.50      0.0    0.    0.  5     
H2DO+       E-                      HDO         H                                   7.20E-08    -0.50      0.0    0.    0.  5     
H+          D2O                     HDO+        D                                   4.60E-09    -0.50      0.0    0.    0.  5     
D2O         HCO+                    CO          HD2O+                               2.50E-09    -0.50      0.0    0.    0.  5     
C+          D2O                     DOC+        D                                   1.80E-09    -0.50      0.0    0.    0.  5     
H3+         D2O                     H2DO+       HD                                  3.54E-09    -0.50      0.0    0.    0.  5     
