H2                                  H           H                                   1.30E-18     0.00      0.0    0.    0.  1     
H2                                  H+          H           E-                      2.20E-19     0.00      0.0    0.    0.  1     
HD                                  D           H                                   1.30E-18     0.00      0.0    0.    0.  1     
HD                                  H+          D           E-                      1.10E-19     0.00      0.0    0.    0.  1     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0    0.    0.  5     
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0    0.    0.  5     
H3+         CO                      HCO+        H2                                  1.70E-09     0.00      0.0    0.    0.  5     
H2D+        CO                      DCO+        H2                                  5.67E-10     0.00      0.0    0.    0.  5     
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0    0.    0.  5     
H2DO+       E-                      HDO         H                                   7.20E-08    -0.50      0.0    0.    0.  5     
HD2O+       E-                      D2O         H                                   3.60E-08    -0.50      0.0    0.    0.  5     
H2O                                 OH          H                                   1.30E-17     0.00    485.5    0.    0.  2     
HDO                                 OD          H                                   6.50E-18     0.00    485.5    0.    0.  2     
H2CO        O2H                     H2O2        HCO                                 3.30E-12     0.00   5870.0    0.    0.  5     
HDCO        O2H                     HDO2        HCO                                 2.20E-12     0.00   5870.0    0.    0.  5     
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0    0.    0.  5     
HDCO+       O2                      O2D         HCO+                                3.85E-11     0.00      0.0    0.    0.  5     
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0    0.    0.  5     
CH3OH2+     E-                      CH3OH       H                                   2.67E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2DOH      H                                   1.60E-08    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CH2DOD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CHD2OH      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CD3OH2+     E-                      CHD2OD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CD3OH2+     E-                      CD3OH       H                                   2.67E-09    -0.59      0.0    0.    0.  5     
CD3OHD+     E-                      CD3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0    0.    0.  5     
CHD2+       H2O                     CH3OD2+                                         2.00E-13     0.00      0.0    0.    0.  5     
CH3+        HDO                     CH2DOH2+                                        1.20E-12     0.00      0.0    0.    0.  5     
CD3+        H2O                     CH2DOD2+                                        6.00E-13     0.00      0.0    0.    0.  5     
CH2D+       HDO                     CHD2OH2+                                        6.00E-13     0.00      0.0    0.    0.  5     
CD3+        HDO                     CHD2OD2+                                        1.20E-12     0.00      0.0    0.    0.  5     
CHD2+       HDO                     CD3OH2+                                         2.00E-13     0.00      0.0    0.    0.  5     
DCO+        CD3OD                   CD3OD2+     CO                                  2.70E-09    -0.50      0.0    0.    0.  5     
CH2D+       H2O                     CH3OHD+                                         8.00E-13     0.00      0.0    0.    0.  5     
CHD2+       H2O                     CH2DOHD+                                        1.20E-12     0.00      0.0    0.    0.  5     
CD3+        H2O                     CHD2OHD+                                        1.20E-12     0.00      0.0    0.    0.  5     
CHD2+       D2O                     CD3OHD+                                         8.00E-13     0.00      0.0    0.    0.  5     
CH3OH                               H2CO        H2                                  1.30E-17     0.00   1584.0    0.    0.  2     
CH2DOH                              HDCO        H2                                  6.50E-18     0.00   1584.0    0.    0.  2     
CHD2OH                              D2CO        H2                                  2.17E-18     0.00   1584.0    0.    0.  2     
CH5+        H2O                     H3O+        CH4                                 3.70E-09    -0.50      0.0    0.    0.  5     
C           CH4D+                   CH3D        CH+                                 9.60E-10     0.00      0.0    0.    0.  5     
C           CH3D2+                  CH2D2       CH+                                 7.20E-10     0.00      0.0    0.    0.  5     
NH4+        E-                      NH3         H                                   1.98E-04    -2.80      0.0    0.    0.  5     
NH3D+       E-                      NH2D        H                                   1.48E-04    -2.80      0.0    0.    0.  5     
NH2D2+      E-                      NHD2        H                                   9.90E-05    -2.80      0.0    0.    0.  5     
NHD3+       E-                      ND3         H                                   4.95E-05    -2.80      0.0    0.    0.  5     
CH3CNH+     E-                      CH3CN       H                                   1.50E-07    -0.50      0.0    0.    0.  5     
CH2DCNH+    E-                      CH2DCN      H                                   1.12E-07    -0.50      0.0    0.    0.  5     
CHD2CNH+    E-                      CHD2CN      H                                   7.50E-08    -0.50      0.0    0.    0.  5     
CD3CNH+     E-                      CD3CN       H                                   3.75E-08    -0.50      0.0    0.    0.  5     
N           CH2                     HCN         H                                   3.95E-11     0.17      0.0    0.    0.  5     
N           CHD                     DCN         H                                   1.97E-11     0.17      0.0    0.    0.  5     
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0    0.    0.  5     
